#Sp1	#Sp2	#Cor	#type
ESV_1	ESV_532	0.4841	1
ESV_1	ESV_538	0.4417	1
ESV_1	ESV_542	0.6995	1
ESV_1	ESV_549	-0.4506	2
ESV_1	ESV_553	0.8082	1
ESV_1	ESV_554	0.5252	1
ESV_1	ESV_561	0.6427	1
ESV_1	ESV_564	0.567	1
ESV_1	ESV_565	-0.459	2
ESV_1	ESV_569	0.5864	1
ESV_1	ESV_570	0.5809	1
ESV_1	ESV_579	0.6147	1
ESV_1	ESV_582	0.4827	1
ESV_1	ESV_590	-0.4918	2
ESV_1	ESV_592	-0.4789	2
ESV_1	ESV_593	0.4487	1
ESV_1	ESV_604	-0.5926	2
ESV_1	ESV_608	0.6495	1
ESV_1	ESV_610	0.7152	1
ESV_1	ESV_615	0.4201	1
ESV_1	ESV_616	0.7314	1
ESV_1	ESV_619	0.7218	1
ESV_1	ESV_621	0.7425	1
ESV_1	ESV_626	-0.5121	2
ESV_1	ESV_631	0.6598	1
ESV_1	ESV_637	0.4376	1
ESV_1	ESV_643	-0.5768	2
ESV_1	ESV_646	0.4583	1
ESV_1	ESV_648	-0.643	2
ESV_1	ESV_660	0.4589	1
ESV_1	ESV_670	0.778	1
ESV_1	ESV_671	-0.5187	2
ESV_1	ESV_673	0.6333	1
ESV_1	ESV_674	0.5098	1
ESV_1	ESV_676	0.4402	1
ESV_1	ESV_694	0.5484	1
ESV_1	ESV_696	0.5303	1
ESV_1	ESV_704	-0.4536	2
ESV_1	ESV_706	-0.6806	2
ESV_1	ESV_708	0.4979	1
ESV_1	ESV_713	-0.4281	2
ESV_1	ESV_722	0.6368	1
ESV_1	ESV_727	0.6067	1
ESV_1	ESV_732	0.7983	1
ESV_1	ESV_734	-0.4981	2
ESV_1	ESV_739	-0.5133	2
ESV_1	ESV_745	0.4216	1
ESV_1	ESV_747	0.5852	1
ESV_1	ESV_750	-0.5243	2
ESV_1	ESV_755	0.535	1
ESV_1	ESV_758	0.503	1
ESV_1	ESV_759	0.8254	1
ESV_1	ESV_779	0.7151	1
ESV_1	ESV_784	-0.4997	2
ESV_1	ESV_785	0.4936	1
ESV_1	ESV_791	0.5654	1
ESV_1	ESV_792	-0.5476	2
ESV_1	ESV_799	0.5844	1
ESV_1	ESV_800	-0.6478	2
ESV_1	ESV_801	0.763	1
ESV_1	ESV_805	-0.5206	2
ESV_1	ESV_808	0.5282	1
ESV_1	ESV_831	-0.6399	2
ESV_1	ESV_842	0.6285	1
ESV_1	ESV_844	-0.5193	2
ESV_1	ESV_848	0.718	1
ESV_1	ESV_849	-0.4357	2
ESV_1	ESV_851	-0.602	2
ESV_1	ESV_856	0.6332	1
ESV_1	ESV_865	-0.4889	2
ESV_1	ESV_870	-0.4673	2
ESV_1	ESV_873	-0.6399	2
ESV_1	ESV_875	0.4391	1
ESV_1	ESV_880	-0.5101	2
ESV_1	ESV_881	0.5257	1
ESV_1	ESV_892	-0.6442	2
ESV_1	ESV_902	-0.6593	2
ESV_1	ESV_906	-0.6381	2
ESV_1	ESV_909	0.55	1
ESV_1	ESV_914	0.6731	1
ESV_1	ESV_926	0.5168	1
ESV_1	ESV_927	-0.5645	2
ESV_1	ESV_929	-0.4522	2
ESV_1	ESV_930	0.4768	1
ESV_1	ESV_931	0.4167	1
ESV_1	ESV_932	0.5003	1
ESV_1	ESV_940	-0.4534	2
ESV_1	ESV_945	0.5127	1
ESV_1	ESV_946	-0.5241	2
ESV_1	ESV_950	-0.7481	2
ESV_1	ESV_959	0.7866	1
ESV_1	ESV_973	-0.4632	2
ESV_1	ESV_976	-0.522	2
ESV_1	ESV_994	0.4634	1
ESV_1	ESV_996	0.5584	1
ESV_1	ESV_999	-0.4184	2
ESV_1	ESV_1004	-0.4269	2
ESV_1	ESV_1005	0.5962	1
ESV_1	ESV_1011	0.4601	1
ESV_1	ESV_1015	0.7093	1
ESV_1	ESV_1016	0.5715	1
ESV_1	ESV_1021	0.6408	1
ESV_1	ESV_1027	0.4772	1
ESV_1	ESV_1031	-0.5149	2
ESV_1	ESV_1032	0.417	1
ESV_1	ESV_1038	-0.5412	2
ESV_1	ESV_1041	0.7294	1
ESV_1	ESV_1055	0.4636	1
ESV_1	ESV_1057	0.5462	1
ESV_1	ESV_1061	-0.5659	2
ESV_1	ESV_1062	0.544	1
ESV_1	ESV_1066	0.6281	1
ESV_1	ESV_1072	0.5792	1
ESV_1	ESV_1076	0.4949	1
ESV_1	ESV_1087	0.4876	1
ESV_1	ESV_1093	0.6264	1
ESV_1	ESV_1095	0.6476	1
ESV_1	ESV_1103	0.6509	1
ESV_1	ESV_1123	0.4352	1
ESV_1	ESV_1131	0.447	1
ESV_1	ESV_1134	-0.4613	2
ESV_1	ESV_1138	-0.5716	2
ESV_1	ESV_1154	-0.6031	2
ESV_1	ESV_1169	-0.5327	2
ESV_1	ESV_1170	-0.5115	2
ESV_1	ESV_1175	-0.4374	2
ESV_1	ESV_1177	-0.48	2
ESV_1	ESV_1178	-0.4857	2
ESV_1	ESV_1188	0.4599	1
ESV_1	ESV_1190	0.4382	1
ESV_1	ESV_1197	0.7371	1
ESV_1	ESV_1209	0.677	1
ESV_1	ESV_1214	-0.4548	2
ESV_1	ESV_1221	-0.6604	2
ESV_1	ESV_1222	-0.5302	2
ESV_1	ESV_1224	0.7689	1
ESV_1	ESV_1225	-0.726	2
ESV_1	ESV_1228	-0.5951	2
ESV_1	ESV_1236	0.4473	1
ESV_1	ESV_1237	-0.551	2
ESV_1	ESV_1241	-0.5577	2
ESV_1	ESV_1251	0.5461	1
ESV_1	ESV_1258	0.7664	1
ESV_1	ESV_1259	0.6755	1
ESV_1	ESV_1261	-0.4726	2
ESV_1	ESV_1268	-0.4484	2
ESV_1	ESV_1277	0.5367	1
ESV_1	ESV_1281	-0.5895	2
ESV_1	ESV_1298	0.5267	1
ESV_1	ESV_1304	-0.5259	2
ESV_1	ESV_1309	-0.587	2
ESV_1	ESV_1311	0.6779	1
ESV_1	ESV_1314	-0.5259	2
ESV_1	ESV_1316	0.5523	1
ESV_1	ESV_1328	0.5656	1
ESV_1	ESV_1342	0.6739	1
ESV_1	ESV_1345	-0.4334	2
ESV_1	ESV_1349	0.4178	1
ESV_1	ESV_1358	0.7161	1
ESV_1	ESV_1362	-0.4962	2
ESV_1	ESV_1364	-0.5687	2
ESV_1	ESV_1378	0.4616	1
ESV_1	ESV_1380	-0.4158	2
ESV_1	ESV_1391	0.48	1
ESV_1	ESV_1395	0.4715	1
ESV_1	ESV_1397	0.5018	1
ESV_1	ESV_1398	-0.6433	2
ESV_1	ESV_1410	0.5724	1
ESV_1	ESV_1415	-0.4477	2
ESV_1	ESV_1418	-0.5632	2
ESV_1	ESV_1424	0.6556	1
ESV_1	ESV_1437	-0.5611	2
ESV_1	ESV_1438	-0.5662	2
ESV_1	ESV_1440	0.4542	1
ESV_1	ESV_1443	0.5822	1
ESV_1	ESV_1445	-0.4577	2
ESV_1	ESV_1449	-0.6174	2
ESV_1	ESV_1458	-0.4637	2
ESV_1	ESV_1459	0.5907	1
ESV_1	ESV_1467	0.6907	1
ESV_1	ESV_1474	0.6288	1
ESV_1	ESV_1477	-0.5463	2
ESV_1	ESV_1494	-0.5454	2
ESV_1	ESV_1507	0.516	1
ESV_1	ESV_1528	0.462	1
ESV_1	ESV_1541	-0.531	2
ESV_1	ESV_1550	-0.4624	2
ESV_1	ESV_1558	-0.4967	2
ESV_1	ESV_1559	-0.5086	2
ESV_1	ESV_1598	0.5454	1
ESV_1	ESV_1601	-0.5002	2
ESV_1	ESV_1604	0.6598	1
ESV_1	ESV_1631	-0.5406	2
ESV_1	ESV_1651	-0.6011	2
ESV_1	ESV_1657	0.4732	1
ESV_1	ESV_1664	0.5586	1
ESV_1	ESV_1670	-0.4343	2
ESV_1	ESV_1688	-0.452	2
ESV_1	ESV_1695	0.5738	1
ESV_1	ESV_1701	-0.4407	2
ESV_1	ESV_1702	0.7596	1
ESV_1	ESV_1729	-0.5158	2
ESV_1	ESV_1733	-0.607	2
ESV_1	ESV_1766	-0.4551	2
ESV_1	ESV_1773	-0.5375	2
ESV_1	ESV_1777	0.4597	1
ESV_1	ESV_1789	-0.6143	2
ESV_1	ESV_1794	0.5928	1
ESV_1	ESV_1808	-0.512	2
ESV_1	ESV_1809	-0.4692	2
ESV_1	ESV_1812	0.4729	1
ESV_1	ESV_1817	-0.607	2
ESV_1	ESV_1820	-0.6071	2
ESV_1	ESV_1825	0.5953	1
ESV_1	ESV_1860	0.6661	1
ESV_1	ESV_1869	0.5749	1
ESV_1	ESV_1871	0.517	1
ESV_1	ESV_1878	0.489	1
ESV_1	ESV_1905	-0.4935	2
ESV_1	ESV_1906	-0.4494	2
ESV_1	ESV_1914	0.54990000000000006	1
ESV_1	ESV_1918	0.4637	1
ESV_1	ESV_1924	0.4981	1
ESV_1	ESV_1939	-0.6892	2
ESV_1	ESV_1956	-0.4471	2
ESV_1	ESV_1960	-0.5391	2
ESV_1	ESV_1967	-0.4327	2
ESV_1	ESV_1968	-0.5159	2
ESV_1	ESV_1981	-0.4144	2
ESV_1	ESV_1994	-0.4864	2
ESV_1	ESV_2004	0.5216	1
ESV_1	ESV_2005	-0.5389	2
ESV_1	ESV_2012	-0.4978	2
ESV_1	ESV_2015	0.5175	1
ESV_1	ESV_2026	-0.4343	2
ESV_1	ESV_2031	-0.4647	2
ESV_1	ESV_2042	-0.4791	2
ESV_1	ESV_2044	-0.6772	2
ESV_1	ESV_2068	0.4309	1
ESV_1	ESV_2096	0.5774	1
ESV_1	ESV_2115	-0.5383	2
ESV_1	ESV_2136	0.6216	1
ESV_1	ESV_2138	-0.4149	2
ESV_1	ESV_2146	0.5455	1
ESV_1	ESV_2154	0.5397	1
ESV_1	ESV_2161	-0.5888	2
ESV_1	ESV_2162	-0.5549	2
ESV_1	ESV_2183	0.5534	1
ESV_1	ESV_2227	-0.427	2
ESV_1	ESV_2230	0.4151	1
ESV_1	ESV_2236	-0.4452	2
ESV_1	ESV_2238	-0.5285	2
ESV_1	ESV_2251	0.5234	1
ESV_1	ESV_2286	0.613	1
ESV_1	ESV_2302	0.5347	1
ESV_1	ESV_2326	-0.4797	2
ESV_1	ESV_2349	0.6344	1
ESV_1	ESV_2360	-0.4925	2
ESV_1	ESV_2408	-0.5639	2
ESV_1	ESV_2415	-0.5892	2
ESV_1	ESV_2422	0.4387	1
ESV_1	ESV_2427	-0.6454	2
ESV_1	ESV_2476	-0.5222	2
ESV_1	ESV_2485	-0.5147	2
ESV_1	ESV_2486	0.4449	1
ESV_1	ESV_2494	0.5681	1
ESV_1	ESV_2532	-0.5953	2
ESV_1	ESV_2552	0.5509	1
ESV_1	ESV_2571	-0.4778	2
ESV_1	ESV_2572	-0.5351	2
ESV_1	ESV_2584	-0.433	2
ESV_1	ESV_2589	-0.4467	2
ESV_1	ESV_2598	-0.4808	2
ESV_1	ESV_2647	-0.4799	2
ESV_1	ESV_2648	-0.5112	2
ESV_1	ESV_2656	0.5975	1
ESV_1	ESV_2674	-0.581	2
ESV_1	ESV_2692	-0.5388	2
ESV_1	ESV_2700	-0.4627	2
ESV_1	ESV_2704	0.5944	1
ESV_1	ESV_2711	-0.4796	2
ESV_1	ESV_2717	-0.5279	2
ESV_1	ESV_2776	-0.4388	2
ESV_1	ESV_2781	-0.506	2
ESV_1	ESV_2785	-0.5542	2
ESV_1	ESV_2798	-0.5354	2
ESV_1	ESV_2853	-0.4442	2
ESV_1	ESV_2856	0.5012	1
ESV_1	ESV_2902	-0.5343	2
ESV_1	ESV_2939	-0.4168	2
ESV_1	ESV_2949	0.4732	1
ESV_1	ESV_2959	0.6619	1
ESV_1	ESV_2966	-0.6711	2
ESV_1	ESV_2979	-0.4824	2
ESV_1	ESV_3002	0.6004	1
ESV_1	ESV_3027	-0.4761	2
