#Sp1	#Sp2	#Cor	#type
ESV_2	ESV_700	0.599	1
ESV_2	ESV_707	0.4608	1
ESV_2	ESV_720	-0.4698	2
ESV_2	ESV_736	0.5682	1
ESV_2	ESV_738	0.4677	1
ESV_2	ESV_739	-0.5744	2
ESV_2	ESV_743	0.5437	1
ESV_2	ESV_750	-0.5828	2
ESV_2	ESV_775	0.6996	1
ESV_2	ESV_776	0.6182	1
ESV_2	ESV_784	-0.5973	2
ESV_2	ESV_796	-0.6311	2
ESV_2	ESV_822	0.5676	1
ESV_2	ESV_826	0.5492	1
ESV_2	ESV_829	-0.4607	2
ESV_2	ESV_836	-0.6295	2
ESV_2	ESV_842	0.5946	1
ESV_2	ESV_846	0.6581	1
ESV_2	ESV_850	-0.5266	2
ESV_2	ESV_852	-0.5128	2
ESV_2	ESV_853	-0.4991	2
ESV_2	ESV_869	-0.6931	2
ESV_2	ESV_872	-0.5303	2
ESV_2	ESV_876	0.5986	1
ESV_2	ESV_884	0.4994	1
ESV_2	ESV_890	-0.5195	2
ESV_2	ESV_891	0.5857	1
ESV_2	ESV_893	-0.6781	2
ESV_2	ESV_896	0.5558	1
ESV_2	ESV_899	-0.5304	2
ESV_2	ESV_913	-0.5599	2
ESV_2	ESV_920	0.7531	1
ESV_2	ESV_927	-0.538	2
ESV_2	ESV_928	0.5135	1
ESV_2	ESV_929	-0.5758	2
ESV_2	ESV_932	0.5423	1
ESV_2	ESV_935	0.5507	1
ESV_2	ESV_939	-0.5476	2
ESV_2	ESV_946	-0.716	2
ESV_2	ESV_950	-0.7002	2
ESV_2	ESV_952	-0.4822	2
ESV_2	ESV_970	0.4898	1
ESV_2	ESV_971	0.4781	1
ESV_2	ESV_973	-0.7026	2
ESV_2	ESV_978	-0.5195	2
ESV_2	ESV_980	-0.4787	2
ESV_2	ESV_987	0.5688	1
ESV_2	ESV_989	0.71	1
ESV_2	ESV_994	0.5963	1
ESV_2	ESV_995	0.557	1
ESV_2	ESV_1001	0.5556	1
ESV_2	ESV_1003	0.4796	1
ESV_2	ESV_1004	-0.5272	2
ESV_2	ESV_1015	-0.5214	2
ESV_2	ESV_1016	0.5777	1
ESV_2	ESV_1020	0.5018	1
ESV_2	ESV_1027	0.667	1
ESV_2	ESV_1042	0.4795	1
ESV_2	ESV_1049	0.5261	1
ESV_2	ESV_1073	-0.5512	2
ESV_2	ESV_1074	0.4797	1
ESV_2	ESV_1076	0.5139	1
ESV_2	ESV_1080	0.481	1
ESV_2	ESV_1083	-0.6615	2
ESV_2	ESV_1084	0.6486	1
ESV_2	ESV_1093	0.4795	1
ESV_2	ESV_1101	0.5107	1
ESV_2	ESV_1117	0.6562	1
ESV_2	ESV_1124	-0.5784	2
ESV_2	ESV_1130	0.5517	1
ESV_2	ESV_1137	0.6341	1
ESV_2	ESV_1151	0.5858	1
ESV_2	ESV_1153	-0.4525	2
ESV_2	ESV_1155	-0.4773	2
ESV_2	ESV_1169	-0.4816	2
ESV_2	ESV_1170	-0.533	2
ESV_2	ESV_1177	-0.5206	2
ESV_2	ESV_1178	-0.5236	2
ESV_2	ESV_1185	-0.4743	2
ESV_2	ESV_1187	0.5108	1
ESV_2	ESV_1190	0.5395	1
ESV_2	ESV_1195	0.6741	1
ESV_2	ESV_1214	-0.4634	2
ESV_2	ESV_1216	0.4816	1
ESV_2	ESV_1217	0.5355	1
ESV_2	ESV_1220	-0.639	2
ESV_2	ESV_1239	0.7416	1
ESV_2	ESV_1240	0.5532	1
ESV_2	ESV_1241	-0.6176	2
ESV_2	ESV_1250	0.5503	1
ESV_2	ESV_1261	-0.5617	2
ESV_2	ESV_1265	0.6881	1
ESV_2	ESV_1266	0.478	1
ESV_2	ESV_1275	0.4769	1
ESV_2	ESV_1281	-0.6464	2
ESV_2	ESV_1285	-0.5327	2
ESV_2	ESV_1287	-0.5214	2
ESV_2	ESV_1290	0.5651	1
ESV_2	ESV_1294	0.6287	1
ESV_2	ESV_1304	-0.6163	2
ESV_2	ESV_1309	-0.6609	2
ESV_2	ESV_1314	-0.5507	2
ESV_2	ESV_1319	0.6507	1
ESV_2	ESV_1321	0.7097	1
ESV_2	ESV_1344	-0.5213	2
ESV_2	ESV_1348	-0.4915	2
ESV_2	ESV_1364	-0.6032	2
ESV_2	ESV_1381	-0.6446	2
ESV_2	ESV_1382	0.5317	1
ESV_2	ESV_1408	0.5825	1
ESV_2	ESV_1411	-0.5745	2
ESV_2	ESV_1418	-0.7014	2
ESV_2	ESV_1425	0.7102	1
ESV_2	ESV_1438	-0.6799	2
ESV_2	ESV_1439	0.5197	1
ESV_2	ESV_1446	-0.6171	2
ESV_2	ESV_1459	-0.4823	2
ESV_2	ESV_1473	-0.5585	2
ESV_2	ESV_1480	-0.4758	2
ESV_2	ESV_1481	-0.4841	2
ESV_2	ESV_1483	0.4684	1
ESV_2	ESV_1494	-0.5607	2
ESV_2	ESV_1501	0.5845	1
ESV_2	ESV_1502	0.4988	1
ESV_2	ESV_1503	0.4761	1
ESV_2	ESV_1509	0.5948	1
ESV_2	ESV_1511	-0.5762	2
ESV_2	ESV_1513	0.5069	1
ESV_2	ESV_1537	-0.4664	2
ESV_2	ESV_1538	0.6061	1
ESV_2	ESV_1556	-0.5169	2
ESV_2	ESV_1562	0.5803	1
ESV_2	ESV_1607	0.4949	1
ESV_2	ESV_1608	0.5416	1
ESV_2	ESV_1618	-0.4586	2
ESV_2	ESV_1619	0.5965	1
ESV_2	ESV_1628	0.6141	1
ESV_2	ESV_1631	-0.4827	2
ESV_2	ESV_1633	0.4414	1
ESV_2	ESV_1662	0.4359	1
ESV_2	ESV_1667	-0.5345	2
ESV_2	ESV_1684	0.6153	1
ESV_2	ESV_1691	-0.6136	2
ESV_2	ESV_1735	0.4736	1
ESV_2	ESV_1737	0.5211	1
ESV_2	ESV_1745	0.5131	1
ESV_2	ESV_1766	-0.5517	2
ESV_2	ESV_1774	0.5591	1
ESV_2	ESV_1776	0.4895	1
ESV_2	ESV_1804	0.581	1
ESV_2	ESV_1816	0.5423	1
ESV_2	ESV_1822	0.4663	1
ESV_2	ESV_1826	-0.4712	2
ESV_2	ESV_1831	-0.4688	2
ESV_2	ESV_1854	-0.4665	2
ESV_2	ESV_1855	0.4411	1
ESV_2	ESV_1875	0.5971	1
ESV_2	ESV_1890	0.4798	1
ESV_2	ESV_1900	0.4734	1
ESV_2	ESV_1913	0.5565	1
ESV_2	ESV_1933	-0.6008	2
ESV_2	ESV_1948	-0.4367	2
ESV_2	ESV_1952	-0.4115	2
ESV_2	ESV_1961	0.5702	1
ESV_2	ESV_1981	-0.4788	2
ESV_2	ESV_1986	0.5349	1
ESV_2	ESV_1995	0.5091	1
ESV_2	ESV_1999	0.5592	1
ESV_2	ESV_2024	-0.4608	2
ESV_2	ESV_2026	-0.6671	2
ESV_2	ESV_2066	-0.566	2
ESV_2	ESV_2067	0.5914	1
ESV_2	ESV_2068	-0.5819	2
ESV_2	ESV_2084	-0.4832	2
ESV_2	ESV_2096	-0.5103	2
ESV_2	ESV_2101	0.5841	1
ESV_2	ESV_2113	0.583	1
ESV_2	ESV_2119	-0.4097	2
ESV_2	ESV_2121	0.5991	1
ESV_2	ESV_2123	-0.4683	2
ESV_2	ESV_2124	0.6614	1
ESV_2	ESV_2142	0.4993	1
ESV_2	ESV_2147	-0.4989	2
ESV_2	ESV_2150	0.4722	1
ESV_2	ESV_2167	0.7586	1
ESV_2	ESV_2173	0.5078	1
ESV_2	ESV_2180	0.5865	1
ESV_2	ESV_2196	0.5618	1
ESV_2	ESV_2202	-0.495	2
ESV_2	ESV_2205	0.5067	1
ESV_2	ESV_2218	0.6218	1
ESV_2	ESV_2222	0.5117	1
ESV_2	ESV_2227	-0.4868	2
ESV_2	ESV_2239	-0.6066	2
ESV_2	ESV_2242	-0.4434	2
ESV_2	ESV_2244	-0.5163	2
ESV_2	ESV_2271	0.5601	1
ESV_2	ESV_2273	0.459	1
ESV_2	ESV_2274	-0.4985	2
ESV_2	ESV_2282	-0.5432	2
ESV_2	ESV_2309	0.4704	1
ESV_2	ESV_2310	-0.5422	2
ESV_2	ESV_2328	-0.4608	2
ESV_2	ESV_2330	0.5858	1
ESV_2	ESV_2344	0.4815	1
ESV_2	ESV_2394	0.5248	1
ESV_2	ESV_2398	0.448	1
ESV_2	ESV_2408	-0.6649	2
ESV_2	ESV_2431	-0.6151	2
ESV_2	ESV_2449	-0.5032	2
ESV_2	ESV_2451	-0.6424	2
ESV_2	ESV_2464	0.5871	1
ESV_2	ESV_2468	0.5027	1
ESV_2	ESV_2475	0.5498	1
ESV_2	ESV_2485	-0.602	2
ESV_2	ESV_2516	-0.5522	2
ESV_2	ESV_2534	0.498	1
ESV_2	ESV_2557	0.4773	1
ESV_2	ESV_2564	0.5062	1
ESV_2	ESV_2570	-0.499	2
ESV_2	ESV_2571	-0.4784	2
ESV_2	ESV_2594	0.5949	1
ESV_2	ESV_2597	-0.5039	2
ESV_2	ESV_2609	0.4294	1
ESV_2	ESV_2621	0.4931	1
