#Sp1	#Sp2	#Cor	#type
ESV_3	ESV_62	-0.4955	2
ESV_3	ESV_65	-0.5984	2
ESV_3	ESV_67	0.507	1
ESV_3	ESV_74	0.5051	1
ESV_3	ESV_77	0.4522	1
ESV_3	ESV_85	-0.4626	2
ESV_3	ESV_88	0.4441	1
ESV_3	ESV_101	-0.6244	2
ESV_3	ESV_103	0.574	1
ESV_3	ESV_105	0.5484	1
ESV_3	ESV_108	-0.5184	2
ESV_3	ESV_112	-0.6473	2
ESV_3	ESV_113	-0.5822	2
ESV_3	ESV_114	0.4557	1
ESV_3	ESV_119	0.6087	1
ESV_3	ESV_124	-0.5053	2
ESV_3	ESV_132	-0.4421	2
ESV_3	ESV_134	-0.5537	2
ESV_3	ESV_137	-0.5766	2
ESV_3	ESV_141	-0.5324	2
ESV_3	ESV_161	-0.6466	2
ESV_3	ESV_162	0.5308	1
ESV_3	ESV_168	-0.6414	2
ESV_3	ESV_169	-0.5445	2
ESV_3	ESV_172	-0.6077	2
ESV_3	ESV_173	-0.6268	2
ESV_3	ESV_178	0.5398	1
ESV_3	ESV_180	0.5396	1
ESV_3	ESV_182	-0.4216	2
ESV_3	ESV_191	0.5248	1
ESV_3	ESV_192	-0.6413	2
ESV_3	ESV_195	-0.4783	2
ESV_3	ESV_205	-0.5795	2
ESV_3	ESV_206	0.5681	1
ESV_3	ESV_216	-0.5311	2
ESV_3	ESV_218	-0.441	2
ESV_3	ESV_220	-0.5754	2
ESV_3	ESV_229	-0.5323	2
ESV_3	ESV_255	-0.5868	2
ESV_3	ESV_258	0.7113	1
ESV_3	ESV_261	-0.6646	2
ESV_3	ESV_263	-0.6149	2
ESV_3	ESV_265	0.6276	1
ESV_3	ESV_266	-0.61	2
ESV_3	ESV_269	-0.522	2
ESV_3	ESV_274	-0.5768	2
ESV_3	ESV_276	-0.6321	2
ESV_3	ESV_293	-0.4979	2
ESV_3	ESV_296	-0.5662	2
ESV_3	ESV_303	-0.5047	2
ESV_3	ESV_306	0.4369	1
ESV_3	ESV_309	-0.5658	2
ESV_3	ESV_311	-0.5594	2
ESV_3	ESV_319	-0.5227	2
ESV_3	ESV_328	-0.4957	2
ESV_3	ESV_330	-0.588	2
ESV_3	ESV_334	-0.5037	2
ESV_3	ESV_335	-0.5126	2
ESV_3	ESV_339	-0.4349	2
ESV_3	ESV_341	0.5794	1
ESV_3	ESV_347	-0.6029	2
ESV_3	ESV_361	-0.6263	2
ESV_3	ESV_379	-0.5818	2
ESV_3	ESV_381	-0.5708	2
ESV_3	ESV_383	-0.5532	2
ESV_3	ESV_386	-0.5525	2
