Sp1	Sp2	Cor
ESV_2	ESV_43	-0.4784
ESV_2	ESV_47	-0.4786
ESV_2	ESV_50	-0.7212
ESV_2	ESV_51	0.6117
ESV_2	ESV_52	0.7694
ESV_2	ESV_53	0.8301
ESV_2	ESV_54	-0.5418
ESV_2	ESV_56	0.6118
ESV_2	ESV_62	0.7854
ESV_2	ESV_67	-0.6604
ESV_2	ESV_71	0.7495
ESV_2	ESV_74	-0.443
ESV_2	ESV_78	0.5409
ESV_2	ESV_80	0.4839
ESV_2	ESV_83	-0.8114
ESV_2	ESV_85	0.828
ESV_2	ESV_87	-0.4548
ESV_2	ESV_88	-0.8436
ESV_2	ESV_94	0.6855
ESV_2	ESV_99	-0.5947
ESV_2	ESV_101	0.6365
ESV_2	ESV_102	-0.5509
ESV_2	ESV_103	-0.8651
ESV_2	ESV_105	-0.7461
ESV_2	ESV_106	0.7444
ESV_2	ESV_108	0.5141
ESV_2	ESV_109	-0.429
ESV_2	ESV_113	0.5621
ESV_2	ESV_118	-0.5341
ESV_2	ESV_125	-0.4885
ESV_2	ESV_132	0.8429
ESV_2	ESV_134	0.5807
ESV_2	ESV_136	0.7327
ESV_2	ESV_143	-0.526
ESV_2	ESV_145	0.6782
ESV_2	ESV_153	-0.4598
ESV_2	ESV_161	0.5819
ESV_2	ESV_164	0.4328
ESV_2	ESV_169	0.4969
ESV_2	ESV_171	0.8491
ESV_2	ESV_173	0.7743
ESV_2	ESV_174	-0.4249
ESV_2	ESV_175	0.8955
ESV_2	ESV_182	0.7
ESV_2	ESV_183	0.5926
ESV_2	ESV_185	0.556
ESV_2	ESV_188	0.4461
ESV_2	ESV_189	-0.4601
ESV_2	ESV_190	0.7612
ESV_2	ESV_191	-0.6731
ESV_2	ESV_192	0.5145
ESV_2	ESV_205	0.685
ESV_2	ESV_206	-0.7479
ESV_2	ESV_208	0.7757
ESV_2	ESV_213	-0.6054
ESV_2	ESV_220	0.7507
ESV_2	ESV_224	-0.4474
ESV_2	ESV_229	0.6087
ESV_2	ESV_230	0.8234
ESV_2	ESV_240	0.4219
ESV_2	ESV_241	0.7552
ESV_2	ESV_251	0.7557
ESV_2	ESV_252	0.6468
ESV_2	ESV_253	0.6118
ESV_2	ESV_255	0.6815
ESV_2	ESV_257	0.6296
ESV_2	ESV_258	-0.5138
ESV_2	ESV_260	0.7466
ESV_2	ESV_263	0.508
ESV_2	ESV_265	-0.6668
ESV_2	ESV_266	0.6013
ESV_2	ESV_269	0.6062
ESV_2	ESV_276	0.5832
ESV_2	ESV_277	0.4739
ESV_2	ESV_283	-0.4743
ESV_2	ESV_288	0.5618
ESV_2	ESV_292	0.5471
ESV_2	ESV_293	0.6259
ESV_2	ESV_294	-0.4755
ESV_2	ESV_296	0.6859
ESV_2	ESV_299	0.8699
ESV_2	ESV_303	0.4868
ESV_2	ESV_306	-0.5321
ESV_2	ESV_308	0.5846
ESV_2	ESV_309	0.4579
ESV_2	ESV_311	0.489
ESV_2	ESV_315	0.4985
ESV_2	ESV_319	0.5506
ESV_2	ESV_325	0.411
ESV_2	ESV_330	0.6623
ESV_2	ESV_332	-0.6439
ESV_2	ESV_335	0.756
ESV_2	ESV_336	-0.5082
ESV_2	ESV_341	-0.6409
ESV_2	ESV_345	0.4262
ESV_2	ESV_347	0.6979
ESV_2	ESV_352	-0.5705
ESV_2	ESV_359	-0.6357
ESV_2	ESV_361	0.6033
ESV_2	ESV_363	0.6856
ESV_2	ESV_367	-0.5901
ESV_2	ESV_375	-0.4587
ESV_2	ESV_379	0.5879
ESV_2	ESV_380	-0.5084
ESV_2	ESV_381	0.4537
ESV_2	ESV_382	0.5504
ESV_2	ESV_389	0.7428
ESV_2	ESV_397	-0.5419
ESV_2	ESV_401	-0.407
ESV_2	ESV_404	0.6285
ESV_2	ESV_408	0.5052
ESV_2	ESV_413	0.5124
ESV_2	ESV_429	-0.4945
ESV_2	ESV_436	-0.6205
ESV_2	ESV_437	0.5379
ESV_2	ESV_439	-0.5229
ESV_2	ESV_445	0.6799
ESV_2	ESV_446	-0.5264
ESV_2	ESV_447	0.6602
ESV_2	ESV_448	0.7829
ESV_2	ESV_455	0.7113
ESV_2	ESV_459	0.7724
ESV_2	ESV_463	0.6535
ESV_2	ESV_464	0.7446
ESV_2	ESV_468	0.6925
ESV_2	ESV_470	-0.5411
ESV_2	ESV_473	0.6479
ESV_2	ESV_475	0.4715
ESV_2	ESV_479	-0.6259
ESV_2	ESV_481	0.6344
ESV_2	ESV_490	0.5682
ESV_2	ESV_497	-0.6806
ESV_2	ESV_499	0.4357
