Module	Beads_AgaroseCarrageenan_0_B	Beads_AgaroseCarrageenan_0_C	Beads_AgaroseCarrageenan_0_A	Beads_AgaroseCarrageenan_12_A	Beads_AgaroseCarrageenan_12_B	Beads_AgaroseCarrageenan_12_C	Beads_AgaroseCarrageenan_24_B	Beads_AgaroseCarrageenan_24_A	Beads_AgaroseCarrageenan_36_B	Beads_AgaroseCarrageenan_36_C	Beads_AgaroseCarrageenan_36_A	Beads_AgaroseCarrageenan_48_B	Beads_AgaroseCarrageenan_48_C	Beads_AgaroseCarrageenan_48_A	Beads_AgaroseCarrageenan_60_B	Beads_AgaroseCarrageenan_60_C	Beads_AgaroseCarrageenan_60_A	Beads_AgaroseCarrageenan_72_A	Beads_AgaroseCarrageenan_72_B	Beads_AgaroseCarrageenan_72_C	Beads_AgaroseCarrageenan_84_A	Beads_AgaroseCarrageenan_84_B	Beads_AgaroseCarrageenan_84_C	Beads_AgaroseCarrageenan_108_B	Beads_AgaroseCarrageenan_108_C	Beads_AgaroseCarrageenan_108_A	Beads_AgaroseCarrageenan_132_B	Beads_AgaroseCarrageenan_132_C	Beads_AgaroseCarrageenan_156_B	Beads_AgaroseCarrageenan_156_C	Beads_AgaroseCarrageenan_156_A	Beads_AgaroseCarrageenan_204_A	Beads_AgaroseCarrageenan_204_B	Beads_AgaroseCarrageenan_204_C
mod_353	41	0	0	162	0	116	691	416	825	1109	815	237	0	981	382	104	1243	13	265	0	404	260	0	80	178	306	2196	891	815	1446	0	830	2062	192
mod_36	0	0	0	7	0	0	0	0	54	0	12	7	13	87	0	24	112	10	145	7	103	0	8	24	0	175	528	10	206	334	34	530	711	0
mod_39	0	0	0	0	0	0	81	50	0	257	87	23	4	134	140	0	236	0	0	0	0	18	0	0	0	0	237	28	110	136	0	261	354	91
mod_4	137	340	379	2102	994	2437	54832	43842	99080	282570	77640	25831	19412	61091	95743	69129	118100	29557	110646	27515	107449	122894	36073	45651	126628	80323	247914	78743	94235	125827	26963	91135	186444	23725
mod_435	0	0	0	44	0	177	529	322	495	516	447	251	0	549	37	20	331	43	51	0	126	120	0	0	0	290	181	57	36	101	0	190	0	97
mod_49	0	0	170	0	0	0	1148	587	784	1473	1569	351	20	1081	588	0	1484	0	199	0	150	100	0	0	66	142	2031	557	1196	934	0	1485	1859	0
mod_53	5871	40667	11920	15363	7415	23717	9199	8536	9858	25625	7338	6276	12032	4342	9079	32793	6283	5583	10567	5542	8411	21525	8097	7672	9085	9115	18679	10825	7102	6352	13184	12165	26853	9834
mod_6	0	13	106	150	0	5	227	76	418	861	380	496	215	1007	2323	926	2814	1094	3398	470	3562	3493	494	2374	4771	4193	12522	4777	5935	7228	4217	4521	9437	1029
mod_64	0	68	600	245	22	233	718	754	751	1684	1578	591	142	2547	375	13	2091	307	349	0	340	0	0	13	0	346	1020	503	388	740	75	827	1024	19
mod_65	0	45	1591	249	144	92	785	971	1427	1806	1280	12	74	1199	730	56	2107	0	0	0	73	410	0	27	36	51	1832	345	377	1072	46	1123	1449	137
mod_7	0	25	202	1548	207	429	1629	2507	1377	10153	2165	249	465	555	550	809	568	129	237	237	448	432	174	843	2321	1462	3485	1060	1078	777	1169	681	1278	13
mod_74	16	4	407	43	0	22	64	0	88	141	21	0	0	93	102	0	143	0	11	7	0	0	0	21	0	0	12	0	0	35	0	134	216	0
mod_8	72	151	240	1669	857	1705	44047	29747	50476	110689	45493	10701	5439	33008	29868	12358	47860	6420	22967	5011	15198	14280	2861	5478	10991	9058	18476	5102	5925	8384	1645	5806	13420	858
mod_9	0	0	0	0	29	0	208	220	613	768	630	173	22	766	526	70	1255	280	328	20	393	68	0	0	35	370	1793	537	895	1150	90	2322	3450	398
