1	4	6	13	15	29	37	43	47	60	70	80	82	87	102	112	115	119	122	131	145	148	156	157	207	264	271	303	494	575	n_members	Family	S	X
0.02912621359223301	0.5145631067961165	0.04854368932038835	0.11650485436893204	0.009708737864077669	0.009708737864077669	0.02912621359223301	0	0.02912621359223301	0	0.038834951456310676	0.019417475728155338	0	0	0.019417475728155338	0	0	0	0.038834951456310676	0	0.019417475728155338	0.009708737864077669	0.009708737864077669	0	0	0.009708737864077669	0.019417475728155338	0.019417475728155338	0.009708737864077669	0	103	Rhodobacteraceae	1.9531670652154558	7.050983179708335
0	0	0.6	0.058823529411764705	0.023529411764705882	0	0.03529411764705882	0	0.03529411764705882	0.023529411764705882	0.011764705882352941	0	0	0.03529411764705882	0	0	0	0	0.03529411764705882	0.011764705882352941	0	0.03529411764705882	0.023529411764705882	0.023529411764705882	0.023529411764705882	0	0.011764705882352941	0.011764705882352941	0	0	85	Flavobacteriaceae	1.713463574528761	5.548144649764275
0.016666666666666666	0.6333333333333333	0.08333333333333333	0.08333333333333333	0.03333333333333333	0	0.016666666666666666	0	0	0	0	0.016666666666666666	0.016666666666666666	0	0	0.016666666666666666	0	0	0.03333333333333333	0	0.03333333333333333	0	0	0	0	0	0.016666666666666666	0	0	0	60	Saprospiraceae	1.4529856242670451	4.275861592841813
0.019230769230769232	0	0.8269230769230769	0	0	0	0	0	0	0.019230769230769232	0	0	0	0	0	0	0	0	0.019230769230769232	0	0	0.057692307692307696	0.019230769230769232	0	0.038461538461538464	0	0	0	0	0	52	Colwelliaceae	0.7509795608516696	2.11907476295618
0.061224489795918366	0.30612244897959184	0.061224489795918366	0	0	0.02040816326530612	0	0	0	0.2857142857142857	0	0	0	0.14285714285714285	0	0	0	0	0.08163265306122448	0	0	0	0	0	0.04081632653061224	0	0	0	0	0	49	Candidatus Carsonella	1.7548392325567066	5.782518026585863
0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0.025	0	0	0	40	Psychromonadaceae	0.23317260237386986	1.2625993881725737
0	0.2727272727272727	0.2727272727272727	0.06060606060606061	0.030303030303030304	0	0.06060606060606061	0	0.030303030303030304	0.030303030303030304	0	0	0	0.06060606060606061	0.06060606060606061	0	0	0	0.06060606060606061	0	0	0.06060606060606061	0	0	0	0	0	0	0	0	33	Alteromonadales	2.0459679081703803	7.736643275293785
0	0.14285714285714285	0.17857142857142858	0.14285714285714285	0	0	0.14285714285714285	0	0.14285714285714285	0	0	0	0	0.07142857142857142	0	0.03571428571428571	0	0	0	0	0	0.10714285714285714	0	0.03571428571428571	0	0	0	0	0	0	28	Alteromonadaceae	2.085417704203312	8.047952443268546
0	0.2	0.32	0.04	0.04	0	0.08	0	0.04	0.08	0	0	0	0.04	0	0	0.04	0	0	0	0	0.08	0	0	0	0	0	0.04	0	0	25	Oceanospirillaceae	2.065211625709446	7.886966806002414
0.043478260869565216	0.5652173913043478	0.13043478260869565	0	0.08695652173913043	0	0	0	0.043478260869565216	0	0	0	0	0.043478260869565216	0.043478260869565216	0	0	0.043478260869565216	0	0	0	0	0	0	0	0	0	0	0	0	23	Flammeovirgaceae	1.4821693083585326	4.402485678560077
0	0.045454545454545456	0.6818181818181818	0	0	0	0	0	0	0	0	0	0	0.045454545454545456	0	0	0	0	0.09090909090909091	0	0.045454545454545456	0.045454545454545456	0.045454545454545456	0	0	0	0	0	0	0	22	Cryomorphaceae	1.1816312089195413	3.259687099160778
0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	20	Campylobacteraceae	0.1985152433458726	1.2195906179141718
0.05555555555555555	0.7222222222222222	0.05555555555555555	0.05555555555555555	0	0	0	0	0	0	0	0	0	0	0.05555555555555555	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05555555555555555	0	18	Porphyromonadaceae	1.0379083330628327	2.8233054193637637
0	0.14285714285714285	0.6428571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14285714285714285	0	0	0	0	0	0	0	0	0	0	0.07142857142857142	14	Prolixibacteraceae	1.0285137640248474	2.7969058819882076
0	0.38461538461538464	0.3076923076923077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3076923076923077	0	0	0	0	0	0	0	0	0	0	0	13	Bacteriovoracaceae	1.0928305535284886	2.9827048407752406
0.08333333333333333	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08333333333333333	0.08333333333333333	0	0	0.08333333333333333	0.08333333333333333	0	0	0.08333333333333333	0	12	Hyphomonadaceae	1.9356005054539454	6.928203230275509
0	0.2727272727272727	0.09090909090909091	0.18181818181818182	0.09090909090909091	0	0	0	0	0	0	0	0	0	0.09090909090909091	0	0.09090909090909091	0	0	0.09090909090909091	0	0	0	0	0	0	0.09090909090909091	0	0	0	11	Puniceicoccaceae	1.9722469794234416	7.186806966507558
0	0.2727272727272727	0.18181818181818182	0	0	0	0	0	0	0.18181818181818182	0	0	0.09090909090909091	0	0	0	0	0	0.09090909090909091	0.09090909090909091	0	0	0	0	0	0	0.09090909090909091	0	0	0	11	Desulfobacteraceae	1.8462202193216335	6.335826173017547
0	0.9	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	Nannocystaceae	0.3250829733914482	1.384145488461686
