substrate	family	mean_X	sd_X
Agarose	Alteromonadaceae	8.227145125231889	1.5453152406709518
Agarose	Alteromonadales	8.929876224735816	1.7489039782101705
Agarose	Bacteriovoracaceae	3.164889162936589	0.8142936723801438
Agarose	Campylobacteraceae	8.585792425206034	1.571711056973273
Agarose	Candidatus Carsonella	9.114074182675532	1.5968275771262486
Agarose	Clostridiales	3.190763829003246	0.8631423301882019
Agarose	Cocleimonas	3.2853741494759507	0.7927096839944003
Agarose	Colwelliaceae	9.11721917883338	1.8436942934915006
Agarose	Cryomorphaceae	6.003845227939645	1.511401013584269
Agarose	Desulfobacteraceae	5.59712284320595	1.6526519520928844
Agarose	Desulfobulbaceae	7.2331288216210305	1.804080205910117
Agarose	Ferrimonadaceae	3.30204645046197	0.8706233714670394
Agarose	Flammeovirgaceae	8.373781286825082	1.7361317459878212
Agarose	Flavobacteriaceae	9.16909604929558	1.8405453963366756
Agarose	Hyphomonadaceae	4.558223883036364	1.210021408929796
Agarose	Nannocystaceae	4.961833403248545	1.1171817473576964
Agarose	Oceanospirillaceae	9.188840706386802	2.315543610492437
Agarose	Phyllobacteriaceae	3.4718558364378374	0.6920725369111066
Agarose	Planctomycetaceae	4.2889206029293145	1.0847752418996182
Agarose	Porphyromonadaceae	5.231101250242127	1.170274344047409
Agarose	Prolixibacteraceae	3.4245079348883234	0.6796948624250811
Agarose	Pseudoalteromonadaceae	4.290477433165946	1.3345674902331555
Agarose	Pseudomonadaceae	3.2497938559245227	0.7847994545182505
Agarose	Psychromonadaceae	4.092199449443301	1.0115674318135837
Agarose	Puniceicoccaceae	4.284156302565787	1.16525420951463
Agarose	Rhodobacteraceae	11.08123312518298	1.6872243260060575
Agarose	Saprospiraceae	9.023373435451084	1.503113978258313
Agarose	Verrucomicrobiaceae	4.3171859089882645	1.1117097640492317
AgaroseAlginate	Alteromonadaceae	6.359888037003216	1.4958074840885371
AgaroseAlginate	Alteromonadales	5.974078845945454	1.6926665118354893
AgaroseAlginate	Arenicellaceae	2.7955647635000838	0.9020893450847929
AgaroseAlginate	Bradymonadaceae	3.369884030193444	0.9513674047544496
AgaroseAlginate	Campylobacteraceae	6.098959953074981	1.5653945499955457
AgaroseAlginate	Candidatus Carsonella	6.3914047264676315	1.4641957281370805
AgaroseAlginate	Clostridiales	3.0860827093530565	0.8793641963348278
AgaroseAlginate	Colwelliaceae	7.1578564964620295	1.412423987696256
AgaroseAlginate	Cryomorphaceae	4.736444032950517	1.440541578159024
AgaroseAlginate	Desulfobacteraceae	2.917522985522303	0.9488531678042245
AgaroseAlginate	Flammeovirgaceae	5.664039513432797	1.3291072921411173
AgaroseAlginate	Flavobacteriaceae	7.763218008849812	1.4659114509973195
AgaroseAlginate	Helicobacteraceae	3.086391562131439	0.8476951555001904
AgaroseAlginate	Hyphomonadaceae	3.8347860023035025	1.1158647936289936
AgaroseAlginate	Nannocystaceae	4.558302264503751	1.4894192616196475
AgaroseAlginate	Oceanospirillaceae	6.609925959680906	1.5231685052211899
AgaroseAlginate	Planctomycetaceae	4.742932482365888	1.5341985385460977
AgaroseAlginate	Porphyromonadaceae	5.168729107848001	1.28729579664551
AgaroseAlginate	Psychromonadaceae	5.7952325522988275	1.6523852948592463
AgaroseAlginate	Puniceicoccaceae	2.7916025945226295	0.848196317313653
AgaroseAlginate	Rhodobacteraceae	7.829721896653654	1.288947278244659
AgaroseAlginate	Saprospiraceae	6.963991220642301	1.6943718981094786
AgaroseAlginate	Syntrophaceae	2.8369342404918454	0.8366968421478592
AgaroseAlginate	Thioalkalispiraceae	2.8017351749886834	0.7993111168992372
AgaroseAlginate	Verrucomicrobiaceae	3.5403877948507496	1.0906950770752053
AgaroseCarrageenan	Alteromonadaceae	10.463973527982015	2.2421681233044555
AgaroseCarrageenan	Alteromonadales	8.330866352968238	1.9230847998368044
AgaroseCarrageenan	Anaerolineaceae	3.812537136330551	0.9611096129366395
AgaroseCarrageenan	Bradymonadaceae	3.770632582074807	0.8853192975350908
AgaroseCarrageenan	Campylobacteraceae	9.3413841222988	2.213574679602728
AgaroseCarrageenan	Candidatus Carsonella	10.631608380635786	1.8633708733713124
AgaroseCarrageenan	Chloroplast	3.289793855924523	0.770640120661653
AgaroseCarrageenan	Clostridiales	4.859337179909524	1.2549281041366414
AgaroseCarrageenan	Cocleimonas	4.092294125138165	0.9068248137111143
AgaroseCarrageenan	Colwelliaceae	11.001036535361965	2.012188959391653
AgaroseCarrageenan	Cryomorphaceae	7.841583649996567	1.8065676249416158
AgaroseCarrageenan	Cytophagaceae	4.573872782348906	1.0276713440622653
AgaroseCarrageenan	Desulfobacteraceae	7.189775910720947	1.7519314103646324
AgaroseCarrageenan	Desulfobulbaceae	6.543776705713381	1.6463110511329258
AgaroseCarrageenan	Ectothiorhodospiraceae	4.891147519390773	1.3305574116775538
AgaroseCarrageenan	Flammeovirgaceae	7.733612152756271	1.6213447063906183
AgaroseCarrageenan	Flavobacteriaceae	11.705921604845848	1.8726405995487385
AgaroseCarrageenan	Helicobacteraceae	6.3634374904467075	1.550899763519785
AgaroseCarrageenan	Hyphomonadaceae	5.301950455060746	1.3582869843265066
AgaroseCarrageenan	Kofleriaceae	4.0732185124888245	1.0874158681583335
AgaroseCarrageenan	Nannocystaceae	5.873337777600265	1.5056641772863935
AgaroseCarrageenan	Oceanospirillaceae	10.579900933147611	1.8821079714107747
AgaroseCarrageenan	Phaselicystidaceae	3.4484243789327613	0.693657387794697
AgaroseCarrageenan	Phyllobacteriaceae	4.2035054903807545	1.1228873132972035
