Sp1	Sp2	Cor
ESV_2	ESV_852	-0.5128
ESV_2	ESV_853	-0.4991
ESV_2	ESV_869	-0.6931
ESV_2	ESV_872	-0.5303
ESV_2	ESV_876	0.5986
ESV_2	ESV_884	0.4994
ESV_2	ESV_890	-0.5195
ESV_2	ESV_891	0.5857
ESV_2	ESV_893	-0.6781
ESV_2	ESV_896	0.5558
ESV_2	ESV_899	-0.5304
ESV_2	ESV_913	-0.5599
ESV_2	ESV_920	0.7531
ESV_2	ESV_927	-0.538
ESV_2	ESV_928	0.5135
ESV_2	ESV_929	-0.5758
ESV_2	ESV_932	0.5423
ESV_2	ESV_935	0.5507
ESV_2	ESV_939	-0.5476
ESV_2	ESV_946	-0.716
ESV_2	ESV_950	-0.7002
ESV_2	ESV_952	-0.4822
ESV_2	ESV_970	0.4898
ESV_2	ESV_971	0.4781
ESV_2	ESV_973	-0.7026
ESV_2	ESV_978	-0.5195
ESV_2	ESV_980	-0.4787
ESV_2	ESV_987	0.5688
ESV_2	ESV_989	0.71
ESV_2	ESV_994	0.5963
ESV_2	ESV_995	0.557
ESV_2	ESV_1001	0.5556
ESV_2	ESV_1003	0.4796
ESV_2	ESV_1004	-0.5272
ESV_2	ESV_1015	-0.5214
ESV_2	ESV_1016	0.5777
ESV_2	ESV_1020	0.5018
ESV_2	ESV_1027	0.667
ESV_2	ESV_1042	0.4795
ESV_2	ESV_1049	0.5261
ESV_2	ESV_1073	-0.5512
ESV_2	ESV_1074	0.4797
ESV_2	ESV_1076	0.5139
ESV_2	ESV_1080	0.481
ESV_2	ESV_1083	-0.6615
ESV_2	ESV_1084	0.6486
ESV_2	ESV_1093	0.4795
ESV_2	ESV_1101	0.5107
ESV_2	ESV_1117	0.6562
ESV_2	ESV_1124	-0.5784
ESV_2	ESV_1130	0.5517
ESV_2	ESV_1137	0.6341
ESV_2	ESV_1151	0.5858
ESV_2	ESV_1153	-0.4525
ESV_2	ESV_1155	-0.4773
ESV_2	ESV_1169	-0.4816
ESV_2	ESV_1170	-0.533
ESV_2	ESV_1177	-0.5206
ESV_2	ESV_1178	-0.5236
ESV_2	ESV_1185	-0.4743
ESV_2	ESV_1187	0.5108
ESV_2	ESV_1190	0.5395
ESV_2	ESV_1195	0.6741
ESV_2	ESV_1214	-0.4634
ESV_2	ESV_1216	0.4816
ESV_2	ESV_1217	0.5355
ESV_2	ESV_1220	-0.639
ESV_2	ESV_1239	0.7416
ESV_2	ESV_1240	0.5532
ESV_2	ESV_1241	-0.6176
ESV_2	ESV_1250	0.5503
ESV_2	ESV_1261	-0.5617
ESV_2	ESV_1265	0.6881
ESV_2	ESV_1266	0.478
ESV_2	ESV_1275	0.4769
ESV_2	ESV_1281	-0.6464
ESV_2	ESV_1285	-0.5327
ESV_2	ESV_1287	-0.5214
ESV_2	ESV_1290	0.5651
ESV_2	ESV_1294	0.6287
ESV_2	ESV_1304	-0.6163
ESV_2	ESV_1309	-0.6609
ESV_2	ESV_1314	-0.5507
ESV_2	ESV_1319	0.6507
ESV_2	ESV_1321	0.7097
ESV_2	ESV_1344	-0.5213
ESV_2	ESV_1348	-0.4915
ESV_2	ESV_1364	-0.6032
ESV_2	ESV_1381	-0.6446
