Sp1	Sp2	Cor
ESV_3	ESV_33	0.5961
ESV_3	ESV_34	0.6662
ESV_3	ESV_35	-0.5184
ESV_3	ESV_40	-0.5252
ESV_3	ESV_48	-0.5401
ESV_3	ESV_50	0.4829
ESV_3	ESV_59	0.5983
ESV_3	ESV_62	-0.4955
ESV_3	ESV_65	-0.5984
ESV_3	ESV_67	0.507
ESV_3	ESV_74	0.5051
ESV_3	ESV_77	0.4522
ESV_3	ESV_85	-0.4626
ESV_3	ESV_88	0.4441
ESV_3	ESV_101	-0.6244
ESV_3	ESV_103	0.574
ESV_3	ESV_105	0.5484
ESV_3	ESV_108	-0.5184
ESV_3	ESV_112	-0.6473
ESV_3	ESV_113	-0.5822
ESV_3	ESV_114	0.4557
ESV_3	ESV_119	0.6087
ESV_3	ESV_124	-0.5053
ESV_3	ESV_132	-0.4421
ESV_3	ESV_134	-0.5537
ESV_3	ESV_137	-0.5766
ESV_3	ESV_141	-0.5324
ESV_3	ESV_161	-0.6466
ESV_3	ESV_162	0.5308
ESV_3	ESV_168	-0.6414
ESV_3	ESV_169	-0.5445
ESV_3	ESV_172	-0.6077
ESV_3	ESV_173	-0.6268
ESV_3	ESV_178	0.5398
ESV_3	ESV_180	0.5396
ESV_3	ESV_182	-0.4216
ESV_3	ESV_191	0.5248
ESV_3	ESV_192	-0.6413
ESV_3	ESV_195	-0.4783
ESV_3	ESV_205	-0.5795
ESV_3	ESV_206	0.5681
ESV_3	ESV_216	-0.5311
ESV_3	ESV_218	-0.441
ESV_3	ESV_220	-0.5754
ESV_3	ESV_229	-0.5323
ESV_3	ESV_255	-0.5868
ESV_3	ESV_258	0.7113
ESV_3	ESV_261	-0.6646
ESV_3	ESV_263	-0.6149
ESV_3	ESV_265	0.6276
ESV_3	ESV_266	-0.61
ESV_3	ESV_269	-0.522
ESV_3	ESV_274	-0.5768
ESV_3	ESV_276	-0.6321
ESV_3	ESV_293	-0.4979
ESV_3	ESV_296	-0.5662
ESV_3	ESV_303	-0.5047
ESV_3	ESV_306	0.4369
ESV_3	ESV_309	-0.5658
ESV_3	ESV_311	-0.5594
ESV_3	ESV_319	-0.5227
ESV_3	ESV_328	-0.4957
ESV_3	ESV_330	-0.588
ESV_3	ESV_334	-0.5037
ESV_3	ESV_335	-0.5126
ESV_3	ESV_339	-0.4349
ESV_3	ESV_341	0.5794
ESV_3	ESV_347	-0.6029
ESV_3	ESV_361	-0.6263
ESV_3	ESV_379	-0.5818
ESV_3	ESV_381	-0.5708
ESV_3	ESV_383	-0.5532
ESV_3	ESV_386	-0.5525
ESV_3	ESV_389	-0.6013
ESV_3	ESV_409	-0.4766
ESV_3	ESV_410	-0.4663
ESV_3	ESV_413	-0.4389
ESV_3	ESV_427	-0.4588
ESV_3	ESV_428	-0.4609
ESV_3	ESV_445	-0.532
ESV_3	ESV_446	0.4643
ESV_3	ESV_447	-0.4517
ESV_3	ESV_450	-0.565
ESV_3	ESV_452	-0.4169
ESV_3	ESV_459	-0.4792
ESV_3	ESV_463	-0.4825
ESV_3	ESV_468	-0.4847
ESV_3	ESV_479	0.5612
ESV_3	ESV_486	-0.4518
ESV_3	ESV_489	-0.4739
ESV_3	ESV_490	-0.5254
ESV_3	ESV_499	-0.5993
ESV_3	ESV_505	-0.4818
ESV_3	ESV_513	-0.4454
ESV_3	ESV_514	-0.4312
ESV_3	ESV_516	-0.5301
ESV_3	ESV_531	-0.5002
ESV_3	ESV_532	-0.4711
ESV_3	ESV_538	-0.4048
ESV_3	ESV_540	0.5869
ESV_3	ESV_543	-0.4543
ESV_3	ESV_570	-0.5807
ESV_3	ESV_573	-0.4963
ESV_3	ESV_582	-0.4478
ESV_3	ESV_593	0.4456
ESV_3	ESV_594	-0.5818
ESV_3	ESV_598	-0.408
ESV_3	ESV_604	0.4884
ESV_3	ESV_605	-0.4412
ESV_3	ESV_637	-0.4659
ESV_3	ESV_658	-0.5585
ESV_3	ESV_661	-0.4735
ESV_3	ESV_662	-0.4968
ESV_3	ESV_664	-0.4212
ESV_3	ESV_671	0.6114
ESV_3	ESV_674	-0.4172
ESV_3	ESV_680	0.4102
ESV_3	ESV_684	-0.4995
ESV_3	ESV_685	-0.5507
ESV_3	ESV_691	-0.4209
ESV_3	ESV_701	0.5713
ESV_3	ESV_702	0.5313
ESV_3	ESV_720	0.4127
ESV_3	ESV_727	-0.4778
ESV_3	ESV_729	0.4399
ESV_3	ESV_758	-0.4432
ESV_3	ESV_763	0.4268
ESV_3	ESV_776	-0.3965
ESV_3	ESV_804	0.5261
ESV_3	ESV_819	-0.5454
ESV_3	ESV_826	-0.4398
ESV_3	ESV_829	0.5233
ESV_3	ESV_843	-0.5199
ESV_3	ESV_890	0.4391
ESV_3	ESV_893	0.5099
ESV_3	ESV_896	-0.5324
ESV_3	ESV_909	0.4502
ESV_3	ESV_913	0.4262
ESV_3	ESV_926	-0.531
ESV_3	ESV_927	0.4553
ESV_3	ESV_929	0.4563
ESV_3	ESV_938	-0.4663
ESV_3	ESV_940	0.5652
ESV_3	ESV_951	-0.491
ESV_3	ESV_983	-0.6201
ESV_3	ESV_1027	-0.4311
ESV_3	ESV_1072	-0.5105
ESV_3	ESV_1073	0.4736
ESV_3	ESV_1124	0.4882
ESV_3	ESV_1165	0.4182
ESV_3	ESV_1169	0.4873
ESV_3	ESV_1178	0.4908
ESV_3	ESV_1185	0.4415
ESV_3	ESV_1187	-0.4665
ESV_3	ESV_1214	0.5045
ESV_3	ESV_1241	0.6092
ESV_3	ESV_1249	-0.4543
ESV_3	ESV_1261	0.4436
ESV_3	ESV_1273	0.5153
ESV_3	ESV_1274	0.4424
ESV_3	ESV_1282	0.4196
ESV_3	ESV_1297	0.4093
ESV_3	ESV_1314	0.4445
ESV_3	ESV_1330	-0.4286
ESV_3	ESV_1337	0.4362
ESV_3	ESV_1359	-0.4741
ESV_3	ESV_1377	0.6188
ESV_3	ESV_1381	0.4727
ESV_3	ESV_1431	0.4778
ESV_3	ESV_1438	0.4156
ESV_3	ESV_1537	0.4368
ESV_3	ESV_1545	0.428
ESV_3	ESV_1567	0.4815
ESV_3	ESV_1713	0.5992
ESV_3	ESV_1738	0.5785
ESV_3	ESV_1789	0.4946
ESV_3	ESV_1824	0.5284
ESV_3	ESV_1977	0.3882
ESV_3	ESV_2004	0.3756
ESV_3	ESV_2034	0.548
ESV_3	ESV_2052	0.5017
ESV_3	ESV_2077	0.537
ESV_3	ESV_2119	0.4663
ESV_3	ESV_2147	0.7176
ESV_3	ESV_2158	0.5014
ESV_3	ESV_2179	0.5413
ESV_3	ESV_2192	0.4285
ESV_3	ESV_2242	0.505
ESV_3	ESV_2302	0.4862
ESV_3	ESV_2348	0.4329
ESV_3	ESV_2360	0.4201
ESV_3	ESV_2412	0.3635
ESV_3	ESV_2456	0.6953
ESV_3	ESV_2516	0.4926
ESV_3	ESV_2552	0.4147
ESV_3	ESV_2567	0.4299
ESV_3	ESV_2589	0.5029
ESV_3	ESV_2685	0.4697
ESV_3	ESV_2692	0.5397
ESV_3	ESV_2879	0.5356
ESV_3	ESV_2966	0.5764
ESV_3	ESV_3062	0.3959
ESV_3	ESV_3111	0.4961
ESV_3	ESV_3116	0.4562
ESV_3	ESV_3187	0.6222
ESV_3	ESV_3224	0.5799
ESV_3	ESV_3357	0.4702
ESV_3	ESV_3502	0.4641
ESV_3	ESV_3645	0.6408
ESV_3	ESV_3702	0.464
ESV_3	ESV_3713	0.4052
ESV_3	ESV_3832	0.402
ESV_3	ESV_3993	0.3929
ESV_3	ESV_4084	0.3872
ESV_3	ESV_4109	0.3793
ESV_3	ESV_4196	0.5182
ESV_3	ESV_4417	0.36
ESV_3	ESV_4506	0.7026
ESV_3	ESV_4755	0.5602
ESV_3	ESV_4781	0.5273
ESV_3	ESV_4904	0.4173
ESV_3	ESV_5105	0.5406
ESV_3	ESV_5247	0.602
ESV_3	ESV_5255	0.41
ESV_3	ESV_5424	0.5994
ESV_3	ESV_5430	0.3958
ESV_3	ESV_5601	0.404
ESV_3	ESV_5747	0.5948
ESV_3	ESV_6014	0.4558
ESV_3	ESV_6179	0.4021
ESV_3	ESV_6194	0.5003
ESV_3	ESV_6275	0.5228
ESV_3	ESV_6459	0.6275
ESV_3	ESV_6493	0.4614
ESV_3	ESV_6637	0.5296
ESV_3	ESV_6646	0.6545
ESV_3	ESV_7152	0.5448
ESV_3	ESV_7279	0.6364
ESV_3	ESV_7735	0.3838
ESV_3	ESV_7878	0.5421
ESV_3	ESV_8255	0.4653
ESV_3	ESV_8355	0.5779
ESV_3	ESV_9081	0.4798
ESV_3	ESV_9154	0.5925
ESV_3	ESV_9560	0.4453
ESV_3	ESV_10231	0.4806
ESV_3	ESV_10400	0.6889
ESV_3	ESV_10927	0.4983
ESV_3	ESV_12756	0.5809
ESV_3	ESV_13346	0.4209
ESV_4	ESV_5	0.7796
ESV_4	ESV_7	0.7359
ESV_4	ESV_8	0.789
ESV_4	ESV_9	0.6512
ESV_4	ESV_11	0.6866
ESV_4	ESV_13	0.7429
ESV_4	ESV_15	0.5554
ESV_4	ESV_16	0.4687
ESV_4	ESV_17	0.6282
ESV_4	ESV_18	0.857
ESV_4	ESV_19	0.6029
ESV_4	ESV_20	0.4996
ESV_4	ESV_21	0.7094
ESV_4	ESV_27	0.594
ESV_4	ESV_31	0.8969
ESV_4	ESV_32	0.5479
ESV_4	ESV_35	0.62
ESV_4	ESV_36	0.562
ESV_4	ESV_37	0.68
ESV_4	ESV_40	0.5358
ESV_4	ESV_43	0.5655
ESV_4	ESV_48	0.4738
ESV_4	ESV_50	0.5275
ESV_4	ESV_56	0.6346
ESV_4	ESV_57	0.6065
ESV_4	ESV_61	0.7995
ESV_4	ESV_66	0.5722
ESV_4	ESV_67	0.5864
ESV_4	ESV_72	0.5808
ESV_4	ESV_76	0.5097
ESV_4	ESV_80	0.5524
ESV_4	ESV_81	0.5585
ESV_4	ESV_83	0.5705
ESV_4	ESV_87	0.5292
ESV_4	ESV_88	0.5393
ESV_4	ESV_89	0.613
ESV_4	ESV_90	0.528
ESV_4	ESV_95	0.3989
ESV_4	ESV_98	0.59
ESV_4	ESV_99	0.6864
ESV_4	ESV_102	0.4448
ESV_4	ESV_105	0.4427
ESV_4	ESV_107	0.5017
ESV_4	ESV_119	0.4514
ESV_4	ESV_128	0.5776
ESV_4	ESV_129	0.5009
ESV_4	ESV_130	0.614
ESV_4	ESV_133	0.6111
ESV_4	ESV_138	0.4904
ESV_4	ESV_139	0.6718
ESV_4	ESV_140	0.4563
ESV_4	ESV_141	0.4477
ESV_4	ESV_144	0.428
ESV_4	ESV_149	0.5184
ESV_4	ESV_152	0.704
ESV_4	ESV_178	0.5073
ESV_4	ESV_181	0.5281
ESV_4	ESV_183	0.5922
ESV_4	ESV_184	0.4455
ESV_4	ESV_187	0.6417
ESV_4	ESV_191	0.4556
ESV_4	ESV_194	0.4781
ESV_4	ESV_201	0.4252
ESV_4	ESV_213	0.4409
ESV_4	ESV_223	0.4621
ESV_4	ESV_259	0.4525
ESV_4	ESV_270	0.653
ESV_4	ESV_279	0.4382
ESV_4	ESV_283	0.5985
ESV_4	ESV_294	0.4709
ESV_4	ESV_307	0.5208
ESV_4	ESV_338	0.4385
ESV_4	ESV_341	0.382
ESV_4	ESV_344	0.4544
ESV_4	ESV_390	0.4037
ESV_4	ESV_391	0.5171
ESV_4	ESV_431	0.5794
ESV_4	ESV_457	-0.4407
ESV_4	ESV_484	0.493
ESV_4	ESV_580	0.4796
ESV_4	ESV_604	0.486
ESV_4	ESV_681	0.3964
ESV_4	ESV_861	-0.4072
ESV_4	ESV_917	0.6562
ESV_4	ESV_981	0.4705
ESV_4	ESV_1042	-0.4352
ESV_4	ESV_1063	0.6357
ESV_4	ESV_1084	-0.4659
ESV_4	ESV_1120	-0.3899
ESV_4	ESV_1122	0.5208
ESV_4	ESV_1157	-0.4352
ESV_4	ESV_1166	-0.4722
ESV_4	ESV_1260	-0.4535
ESV_4	ESV_1265	-0.4262
ESV_4	ESV_1280	0.4266
ESV_4	ESV_1297	0.4006
ESV_4	ESV_1377	0.3911
ESV_4	ESV_1402	-0.4643
ESV_4	ESV_1540	0.5935
ESV_4	ESV_1607	-0.3939
ESV_4	ESV_1615	-0.3827
ESV_4	ESV_1684	-0.5238
ESV_4	ESV_1739	-0.4319
ESV_4	ESV_1745	-0.4764
ESV_4	ESV_1799	-0.4273
ESV_4	ESV_1848	-0.4352
ESV_4	ESV_2028	-0.4823
ESV_4	ESV_2216	0.6272
ESV_4	ESV_2498	-0.4245
ESV_4	ESV_2607	-0.4069
ESV_4	ESV_2649	-0.4113
ESV_4	ESV_2689	-0.3807
ESV_4	ESV_3057	-0.4126
ESV_4	ESV_3273	-0.4221
ESV_4	ESV_3712	-0.4511
ESV_4	ESV_4584	-0.4892
ESV_4	ESV_5255	-0.34
ESV_4	ESV_6216	-0.4317
ESV_5	ESV_7	0.8494
ESV_5	ESV_8	0.7348
ESV_5	ESV_9	0.8526
ESV_5	ESV_11	0.6027
ESV_5	ESV_13	0.7041
ESV_5	ESV_15	0.6336
ESV_5	ESV_16	0.621
ESV_5	ESV_17	0.6073
ESV_5	ESV_18	0.7084
ESV_5	ESV_19	0.6443
ESV_5	ESV_21	0.746
ESV_5	ESV_25	0.4502
ESV_5	ESV_27	0.5675
ESV_5	ESV_31	0.7054
ESV_5	ESV_32	0.5366
ESV_5	ESV_35	0.5766
ESV_5	ESV_36	0.6436
ESV_5	ESV_37	0.6614
ESV_5	ESV_40	0.6466
ESV_5	ESV_43	0.4757
ESV_5	ESV_45	0.4979
ESV_5	ESV_48	0.5082
ESV_5	ESV_50	0.525
ESV_5	ESV_56	0.7063
ESV_5	ESV_57	0.5032
ESV_5	ESV_61	0.7941
ESV_5	ESV_66	0.5208
ESV_5	ESV_67	0.5104
ESV_5	ESV_72	0.6055
ESV_5	ESV_76	0.6474
ESV_5	ESV_78	0.5545
ESV_5	ESV_80	0.5574
ESV_5	ESV_83	0.4179
ESV_5	ESV_84	0.5596
ESV_5	ESV_85	0.5272
ESV_5	ESV_89	0.6654
ESV_5	ESV_98	0.5854
ESV_5	ESV_102	0.5183
ESV_5	ESV_107	0.6464
ESV_5	ESV_119	0.4827
ESV_5	ESV_128	0.4513
ESV_5	ESV_130	0.6051
ESV_5	ESV_133	0.6639
ESV_5	ESV_138	0.4612
ESV_5	ESV_139	0.716
ESV_5	ESV_140	0.5757
ESV_5	ESV_141	0.4579
ESV_5	ESV_144	0.4719
ESV_5	ESV_149	0.7144
ESV_5	ESV_152	0.648
ESV_5	ESV_156	0.4341
ESV_5	ESV_167	0.5984
ESV_5	ESV_168	0.4175
ESV_5	ESV_178	0.5285
ESV_5	ESV_181	0.6408
ESV_5	ESV_187	0.5492
ESV_5	ESV_216	0.5029
ESV_5	ESV_223	0.6062
ESV_5	ESV_270	0.6636
ESV_5	ESV_278	0.4942
ESV_5	ESV_279	0.4139
ESV_5	ESV_283	0.5854
ESV_5	ESV_294	0.4457
ESV_5	ESV_302	0.6469
ESV_5	ESV_307	0.6227
ESV_5	ESV_321	0.4621
ESV_5	ESV_353	0.4378
ESV_5	ESV_371	0.4923
ESV_5	ESV_387	0.4068
ESV_5	ESV_391	0.5436
ESV_5	ESV_431	0.5259
ESV_5	ESV_452	0.5497
ESV_5	ESV_456	0.4652
ESV_5	ESV_580	0.7058
ESV_5	ESV_590	0.6932
ESV_5	ESV_593	0.3848
ESV_5	ESV_604	0.4445
ESV_5	ESV_733	0.6625
ESV_5	ESV_764	0.5122
ESV_5	ESV_807	-0.4139
ESV_5	ESV_917	0.5749
ESV_5	ESV_981	0.4639
ESV_5	ESV_1001	-0.4663
ESV_5	ESV_1063	0.5579
ESV_5	ESV_1109	-0.4065
ESV_5	ESV_1117	-0.3943
ESV_5	ESV_1121	-0.3945
ESV_5	ESV_1122	0.4738
