sampleid	Media	Substrate	SubType	Time	Replica	Stage		
#q2:types	categorical	categorical	categorical	numeric	categorical	categorical		
Seawater_Agarose_204_A	Seawater	Agarose	Pure	204	A	D_108-204h		
Seawater_Chitin_204_A	Seawater	Chitin	Pure	204	A	D_108-204h		
Beads_Chitin_204_B	Beads	Chitin	Pure	204	B	D_108-204h		
Seawater_Chitosan_204_A	Seawater	Chitosan	Pure	204	A	D_108-204h		
Beads_Chitosan_204_A	Beads	Chitosan	Pure	204	A	D_108-204h		
Beads_Carrageenan_204_A	Beads	Carrageenan	Pure	204	A	D_108-204h		
Beads_AgaroseChitosan_204_A	Beads	AgaroseChitosan	Mixture	204	A	D_108-204h		
Seawater_Alginate_204_A	Seawater	Alginate	Pure	204	A	D_108-204h		
Beads_Chitin_204_A	Beads	Chitin	Pure	204	A	D_108-204h		
Seawater_Carrageenan_204_A	Seawater	Carrageenan	Pure	204	A	D_108-204h		
Beads_AgaroseCarrageenan_204_A	Beads	AgaroseCarrageenan	Mixture	204	A	D_108-204h		
Beads_AgaroseAlginate_204_A	Beads	AgaroseAlginate	Mixture	204	A	D_108-204h		
Beads_Agarose_204_C	Beads	Agarose	Pure	204	C	D_108-204h		
Beads_Alginate_204_C	Beads	Alginate	Pure	204	C	D_108-204h		
Beads_Agarose_204_B	Beads	Agarose	Pure	204	B	D_108-204h		
Beads_AgaroseAlginate_204_B	Beads	AgaroseAlginate	Mixture	204	B	D_108-204h		
Beads_Chitosan_204_B	Beads	Chitosan	Pure	204	B	D_108-204h		
Beads_Chitosan_204_C	Beads	Chitosan	Pure	204	C	D_108-204h		
Beads_Carrageenan_204_C	Beads	Carrageenan	Pure	204	C	D_108-204h		
Beads_AgaroseChitosan_204_C	Beads	AgaroseChitosan	Mixture	204	C	D_108-204h		
Beads_Alginate_204_B	Beads	Alginate	Pure	204	B	D_108-204h		
Beads_AgaroseCarrageenan_204_B	Beads	AgaroseCarrageenan	Mixture	204	B	D_108-204h		
Beads_AgaroseChitosan_204_B	Beads	AgaroseChitosan	Mixture	204	B	D_108-204h		
Beads_Carrageenan_204_B	Beads	Carrageenan	Pure	204	B	D_108-204h		
Beads_AgaroseCarrageenan_204_C	Beads	AgaroseCarrageenan	Mixture	204	C	D_108-204h		
Beads_AgaroseAlginate_204_C	Beads	AgaroseAlginate	Mixture	204	C	D_108-204h		
